question,answerability,primary_cause,final_answer,evidence_coverage,answerability_confidence,prompts_used
Which timeframe in 2011 had the most people killed in alcohol-impaired driving?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the job titles for the 2 new hires named James Casey?,answerable,,James Casey is a Senior Analyst and Junior Analyst.,1.0,3,"question_analysis_v1, docel_cot_v3"
"What is scheduled in the hour of examination on Friday, June 12th, as per the time table?",answerable,,"The examination is scheduled for June 12th, Friday at 9:00 AM.",1.0,3,"question_analysis_v1, docel_cot_v3"
In what city and size was this letter filed in district court?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
What are the job titles for the 2 new hires named William Rich who retired?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"What is the issue date of the Federal Register, paragraph 2, Volume 77 Issue 2015?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
"If an internee is looking to relocate from Santa Barbara during September 1943, where is the best relocation center in Salinas?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
In the financial summary on page1of8 what were the salaries and wages recorded for year five?,unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the job titles for the 2 new hires named Angela Neeley who retired?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What are the job titles for the 2 new hires named Jill Darlington?,answerable,,Jill Darlington’s job titles are Senior Marketing Specialist and Marketing Coordinator.,1.0,3,"question_analysis_v1, docel_cot_v3"
Is the woman the antagonist in this horror film?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3, docel_cot_v3"
"On page six, what 20 years is included in the introduction to the second to last question?",insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"Who is the antagonist in this horror film, Mara Corday?",unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3, docel_cot_v3"
What type of PPE items should a patient wear to protect from COVID-19?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What are the job titles for the 2 new hires named John Frola who retired?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
How many Inspector General summary memorandums did state attorneys general obtain for foreclosure-related documents and records?,unanswerable,UNSUPPORTED_PRESUPPOSITION,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v4"
"If an internee named Jerome is looking to relocate from Santa Barbara during September 1943, where is the best relocation Center?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many Inspector General memoranda of review did state attorneys general use to obtain foreclosure-related documents and records?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
In the financial summary on page 4 of 8 what were the salaries and wages for year five?,unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What other wiki in the world has?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
"If an internee is looking to relocate from Santa Barbara during September 1943, where is the best relocation center in Pomona?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
